specimen_id,dataset,donor
538898339,L1,H16.03.006
539735188,L1,H16.06.011
542089601,L1,H16.03.008
542089688,L1,H16.03.008
542091679,L1,H16.03.008
557304458,L1,H16.03.001
557304600,L1,H16.06.010
569248750,L1,H16.03.012
577259988,L1,H17.06.007
588160377,both,H17.03.005
591394030,L1,H17.03.006
591394258,both,H17.03.006
596594921,L1,H17.03.007
602490004,L1,h17.03.008
639808598,both,H17.06.012
643158504,L1,H17.03.014
663999554,L1,H18.28.001
753596069,L1,H18.03.316
828754192,L1,H19.28.004
847865117,L1,H19.29.146
1092009538,L1,H21.03.306
1096598633,L1,H21.03.309
1098343677,L1,H21.03.310
1104539084,L1,H21.29.194
1108736042,L1,H21.29.197
1110847344,L1,H21.29.199
1121206986,L1,H21.29.200
1121207105,L1,H21.29.200
1121207150,L1,H21.29.200
1121207190,L1,H21.29.200
1122871283,L1,H21.03.315
1126879805,L1,H21.29.201
1126879987,L1,H21.29.201
1126880065,L1,H21.29.201
1126880187,L1,H21.29.201
1126880246,L1,H21.29.201
1144802077,L1,H21.29.205
1144802167,L1,H21.29.205
1144802215,L1,H21.29.205
1144802276,L1,H21.29.205
1144802412,L1,H21.29.205
1144802625,L1,H21.29.205
1144802965,L1,H21.29.206
1144803072,L1,H21.29.206
1151275429,L1,H21.28.034
1151733448,L1,H21.28.041
1156108096,L1,H21.29.207
1157093700,L1,H21.29.203
1160491283,L1,H22.29.210
1160492425,L1,H22.29.211
1160492605,L1,H22.29.211
