subclass,median_depth_merfish,n_cells_merfish,median_depth_xenium,n_cells_xenium
Astrocyte,0.47839053765180706,42140,0.3522433060675736,146327
Chandelier,0.44386985003708357,1103,0.39090162706766995,12944
Endothelial,0.4613033455906679,18010,0.4137085587951373,127973
L2/3 IT,0.25547941737177554,44283,0.2426388113261946,122901
L4 IT,0.519592505463137,24573,0.550649396382364,38653
L5 ET,0.6001120682467247,1501,0.5421353082161103,8968
L5 IT,0.619486385850357,23636,0.5679802903660739,52318
L5/6 NP,0.6547257133013646,3321,0.6256834396408018,6642
L6 CT,0.807204643000429,4615,0.7692461094981716,7652
L6 IT,0.8060051183284286,17117,0.7537742729058431,17892
L6 IT Car3,0.7203510179600437,10006,0.7763046499383335,5445
L6b,0.7926280582555653,6299,0.7974531019256964,5411
Lamp5,0.38953665105342666,4779,0.26818353910531384,14949
Lamp5 Lhx6,0.49194299710269573,3736,0.7634984979372936,709
Microglia-PVM,0.47641823616145523,35591,0.38385216432879943,58262
OPC,0.52478932122381,12759,0.41833700546610975,30100
Oligodendrocyte,0.6678586777649257,47522,0.5792461454867689,121639
Pax6,0.1888748256728372,806,0.15641526502294628,6206
Pvalb,0.472090297276219,8343,0.513907108742486,20735
Sncg,0.1312764780083764,1829,0.11022700429979576,6202
Sst,0.54263347578508,6974,0.5143120329035921,28957
Sst Chodl,0.448586290612211,698,0.41352900951249594,615
VLMC,0.4545731415556765,14553,0.3837175930178096,51698
Vip,0.2819848319109259,7401,0.28337372217978823,24271
