supertype,median_depth_merfish,n_cells_merfish,median_depth_xenium,n_cells_xenium
Astro_1,0.44923757849522605,26232,0.7736821125320766,57
Astro_2,0.4672809712117832,993,0.44284064352035496,84592
Astro_3,0.6149476097798571,12360,0.7714558651441424,846
Astro_4,0.2099601567132132,1325,0.15091648129000826,10481
Astro_5,0.28162760578621837,1129,0.15216527665345014,41534
Astro_6-SEAAD,0.36973185414322907,101,0.3856489773263963,8817
Chandelier_1,0.47858645116981247,830,0.5319979218352275,4502
Chandelier_2,0.2696888056838348,273,0.3010218552450916,8442
Endo_1,0.4707315952012463,992,0.39555614916802667,24345
Endo_2,0.45815866304330227,13401,0.42228481225464537,92036
Endo_3,0.47114829948023024,3617,0.41161125228691187,11592
L2/3 IT_1,0.1826441573313118,16394,0.1893654257349658,34344
L2/3 IT_10,0.3143280968447043,5560,0.3572747670645523,8215
L2/3 IT_12,0.31931625754957965,1117,0.3090962778153216,20274
L2/3 IT_13,0.41901355718761535,7270,0.4266947637575164,1919
L2/3 IT_2,0.3070953317036796,4507,0.2721576748441755,14167
L2/3 IT_3,0.4472779118896184,1280,0.3886868000529766,451
L2/3 IT_5,0.41733956157314667,1091,0.38399013462374704,7445
L2/3 IT_6,0.19837543828206783,6804,0.19627150206068972,16618
L2/3 IT_7,0.20547150086070412,166,0.2145122232018784,10557
L2/3 IT_8,0.2376476756150348,94,0.2759279845457307,8911
L4 IT_1,0.5611366919470456,4745,0.5615504215029927,14232
L4 IT_2,0.5236614533982493,14416,0.5523319504422887,14401
L4 IT_3,0.46938062666919694,3145,0.5243088161404372,7220
L4 IT_4,0.4834835610456175,2267,0.5515746381393845,2800
L5 ET_1,0.5686257160258493,474,0.5303763909346789,6117
L5 ET_2,0.6079532602390725,1027,0.5669336957031152,2851
L5 IT_1,0.5985808781787054,6071,0.5632455476185224,2991
L5 IT_2,0.6151413888295247,4430,0.5925689383683235,8049
L5 IT_3,0.6874885826328057,2794,0.6135787916843388,854
L5 IT_5,0.5935674471517951,2264,0.5835202328240338,12239
L5 IT_6,0.5816066167713898,3427,0.494877486310689,18140
L5 IT_7,0.6537945720659218,4650,0.5876397174629957,10045
L5/6 NP_1,0.6596970836324537,619,0.6350599182809546,1381
L5/6 NP_2,0.6536719668016047,1337,0.6290059114399972,1198
L5/6 NP_3,0.6493233446271096,789,0.6090987040408693,1199
L5/6 NP_4,0.6585462511442799,153,0.6324076444298823,1924
L5/6 NP_6,0.6525322493166984,423,0.6203185998942731,940
L6 CT_1,0.8567227492559728,432,0.8028339498430044,170
L6 CT_2,0.8110074353465027,1338,0.7938571848251741,1909
L6 CT_3,0.7987905905823,2773,0.780367466214378,2138
L6 CT_4,0.8101052167736797,72,0.7191461740791858,3435
L6 IT Car3_1,0.6064449027542703,1474,0.7533699878743162,2345
L6 IT Car3_2,0.6902346434388623,2354,0.7908677301727394,1546
L6 IT Car3_3,0.7448960197804646,6178,0.7840099413284585,1554
L6 IT_1,0.8180811841679052,5530,0.73793430618035,3415
L6 IT_2,0.8018542700390032,11587,0.7570619332916194,14477
L6b_1,0.8528074650191875,227,0.669776901891071,168
L6b_2,0.8496705658213405,281,0.7148162020843909,535
L6b_3,0.7557092274687613,832,0.7865045423422907,666
L6b_4,0.8417112705960776,184,0.7849130479490627,445
L6b_5,0.7760798410529812,1418,0.8005831719538788,611
L6b_6,0.7962871609854022,3357,0.8036056906635622,2986
Lamp5_1,0.46534794900478504,1739,0.5042148330351586,3192
Lamp5_2,0.4115490646238177,1528,0.4465370468338872,3864
Lamp5_3,0.36456365136192426,872,0.24142387214702882,1918
Lamp5_4,0.09485472829753791,130,0.11878711864749097,1756
Lamp5_5,0.07985912581346337,397,0.08607183721958372,2274
Lamp5_6,0.10541468682797465,113,0.12248147493657432,1945
Lamp5_Lhx6_1,0.49194299710269573,3736,0.7634984979372936,709
Micro-PVM_1,0.48685250376710876,510,0.3790066682265828,3394
Micro-PVM_2,0.3480599966398361,1172,0.3973334379295195,5095
Micro-PVM_2_1-SEAAD,0.5216481001112232,263,0.3727649545255315,18067
Micro-PVM_2_3-SEAAD,0.48065626922279014,21850,0.40662830499314057,16942
Micro-PVM_3-SEAAD,0.4708519342883438,3208,0.3839757462586629,10271
Monocyte,0.47990408559072817,8588,0.3859753340669808,497
OPC_1,0.5765967858202499,3102,0.5856577027703334,1428
OPC_2,0.5370469601205653,955,0.7510672921645702,75
OPC_2_1-SEAAD,0.5043371946650136,8335,0.4010886423074672,23669
OPC_2_2-SEAAD,0.48881036773688225,367,0.4602211870528329,4928
Oligo_1,0.6775974814502745,34976,0.5936015630939852,9140
Oligo_2,0.6413427213374026,10256,0.7582917824193558,87
Oligo_2_1-SEAAD,0.622164329964317,1556,0.5909860758827694,24138
Oligo_3,0.6289101006916069,282,0.5680239995086619,13419
Oligo_4,0.6571002843362944,452,0.5756424133679214,74855
Pax6_1,0.12490216345218237,415,0.1003485205521813,2323
Pax6_2,0.2371871199288186,120,0.17715975538492923,2714
Pax6_3,0.36226636708120985,164,0.26726384159200417,593
Pax6_4,0.26545365551538647,107,0.1902301116229951,576
Pericyte_1,0.4547152827416209,10487,0.43093930807218367,9375
Pericyte_2-SEAAD,0.5336522702911883,478,0.3812613060951592,22480
Pvalb_1,0.663345389733672,87,0.5871553808734455,316
Pvalb_10,0.7623353584562067,257,0.6409086903890935,1360
Pvalb_12,0.7200295021766517,420,0.6084665962488155,1653
Pvalb_13,0.737596137206345,193,0.5780213421391462,711
Pvalb_15,0.5343020309946898,2274,0.5206110812018643,6160
Pvalb_2,0.3922709387782085,2001,0.3523950815200639,3029
Pvalb_5,0.29041075134788996,1371,0.264724372859176,1025
Pvalb_6,0.4648362327305633,466,0.45968049529831684,4985
Pvalb_7,0.7769942610665402,160,0.7675009967614692,42
Pvalb_8,0.21579511763965115,101,0.26450366157010635,207
Pvalb_9,0.7128829770582668,252,0.6362168621464761,1245
SMC-SEAAD,0.4125700460568703,798,0.3756515317331407,17331
Sncg_1,0.1606087362772187,73,0.21054517637367148,504
Sncg_2,0.1094433863569482,79,0.10411496765303897,573
Sncg_3,0.1945520743729462,544,0.12851875179317657,176
Sncg_4,0.10726807327958734,542,0.10871383489749425,2162
Sncg_5,0.08012711907269068,58,0.08043846143412288,917
Sncg_6,0.1243859464521252,336,0.11105032803625979,1158
Sncg_8,0.11720727932883515,197,0.12000052402820426,712
Sst Chodl_1,0.4816466465750201,540,0.6025918418157348,255
Sst Chodl_2,0.3620864403721127,158,0.27264315537255884,360
Sst_1,0.7275974633186215,360,0.7406706199886872,352
Sst_10,0.6743330891592931,214,0.6048714460668717,3289
Sst_11,0.20933557296696323,427,0.2528819566477657,3922
Sst_12,0.7612772736571891,145,0.736105499369631,610
Sst_13,0.6356090838243849,728,0.6022137360358815,1934
Sst_19,0.5430210600339906,804,0.5519047405318784,3756
Sst_2,0.3863598456999736,452,0.3230785597790031,1557
Sst_20,0.3072222781690367,228,0.28970731037650543,3348
Sst_22,0.24545012325142712,147,0.2671438816705427,2526
Sst_23,0.18271475961269018,243,0.19229192251324595,302
Sst_25,0.31499849427345644,563,0.21704705329278434,1596
Sst_3,0.4864761323883867,558,0.4533827840169962,2418
Sst_4,0.7289674006407744,174,0.7067538060948018,626
Sst_5,0.7402868500823627,350,0.64083146108985,1362
Sst_7,0.8047125703166287,58,0.7471478384254194,434
Sst_9,0.6012569898612904,1523,0.6069641987259676,925
VLMC_1,0.45448788517853644,2790,0.39407786440920445,2512
Vip_1,0.2548571046514559,309,0.23448594331271908,2782
Vip_11,0.2152201626820961,632,0.25981703527114247,975
Vip_12,0.36415014413485025,884,0.2662537196507157,1811
Vip_13,0.22876652742913295,375,0.2198433728929009,1717
Vip_14,0.3138310886470561,340,0.33348393336908294,199
Vip_15,0.3275256449176629,312,0.3534685069500046,1783
Vip_16,0.2175504768423322,122,0.22861721824547554,732
Vip_18,0.4350557142553219,155,0.41838567821595923,1701
Vip_19,0.547784619532303,399,0.500725829281327,2058
Vip_2,0.3304338316286649,351,0.37938325160779196,1448
Vip_21,0.16415117628853776,348,0.20079092303507662,2304
Vip_23,0.4537236510991982,606,0.5150027914830199,2265
Vip_4,0.329514647268659,730,0.2414873554748141,2562
Vip_5,0.2776755632603616,299,0.1984058078122438,695
Vip_6,0.26978164737128874,392,0.2113083892046718,485
Vip_9,0.19346181392523382,1147,0.19221508014573935,754
